benchmark_split,model,split,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,auroc_macro_ovr,labels
random,logistic_regression_mechanism,test,931,0.6294,0.7315,0.6729,0.6385,0.6498,0.776,"Enhance,Induce,Inhibit"
random,logistic_regression_mechanism,val,465,0.5892,0.7364,0.6869,0.6013,0.6432,0.7799,"Enhance,Induce,Inhibit"
random,tree_baseline_mechanism,train,3257,0.9736,0.9807,0.9796,0.9736,0.24,0.9979,"Enhance,Induce,Inhibit"
random,tree_baseline_mechanism,test,931,0.7938,0.8125,0.8286,0.7902,0.4303,0.9124,"Enhance,Induce,Inhibit"
random,tree_baseline_mechanism,val,465,0.7914,0.8288,0.8343,0.787,0.4215,0.9168,"Enhance,Induce,Inhibit"
random,sequence_embedding_logistic,train,3257,0.6647,0.6578,0.5174,0.6792,0.7284,0.8033,"Enhance,Induce,Inhibit"
random,sequence_embedding_logistic,test,931,0.6047,0.638,0.4666,0.6189,1.1796,0.7185,"Enhance,Induce,Inhibit"
random,sequence_embedding_logistic,val,465,0.6237,0.5931,0.4671,0.6355,1.1081,0.7318,"Enhance,Induce,Inhibit"
random,combined_mechanism_aware,train,3257,0.7538,0.8353,0.8074,0.7602,0.4686,0.8993,"Enhance,Induce,Inhibit"
random,combined_mechanism_aware,test,931,0.6713,0.7472,0.7307,0.6772,0.8917,0.8055,"Enhance,Induce,Inhibit"
random,combined_mechanism_aware,val,465,0.6774,0.7784,0.7684,0.6856,0.8953,0.8169,"Enhance,Induce,Inhibit"
random,mlp_sequence_embedding,train,3257,0.7467,0.5433,0.5993,0.6981,0.5337,0.8114,"Enhance,Induce,Inhibit"
random,mlp_sequence_embedding,test,931,0.6756,0.5598,0.589,0.6056,0.7803,0.7302,"Enhance,Induce,Inhibit"
random,mlp_sequence_embedding,val,465,0.714,0.4666,0.5061,0.6657,0.7652,0.7464,"Enhance,Induce,Inhibit"
site_disjoint,majority,train,3257,0.6546,0.3333,0.2637,0.5179,12.4498,0.5,"Enhance,Induce,Inhibit"
site_disjoint,majority,test,931,0.681,0.3333,0.2701,0.5518,11.4984,0.5,"Enhance,Induce,Inhibit"
site_disjoint,majority,val,465,0.6602,0.3333,0.2651,0.5251,12.2471,0.5,"Enhance,Induce,Inhibit"
site_disjoint,logistic_regression_mechanism,train,3257,0.622,0.7493,0.6938,0.6327,0.6224,0.8027,"Enhance,Induce,Inhibit"
site_disjoint,logistic_regression_mechanism,test,931,0.6488,0.5693,0.5864,0.6608,0.6361,0.7804,"Enhance,Induce,Inhibit"
site_disjoint,logistic_regression_mechanism,val,465,0.6774,0.7786,0.77,0.6846,0.6312,0.7957,"Enhance,Induce,Inhibit"
site_disjoint,tree_baseline_mechanism,train,3257,0.9724,0.9801,0.9765,0.9724,0.2366,0.9979,"Enhance,Induce,Inhibit"
site_disjoint,tree_baseline_mechanism,test,931,0.7465,0.5827,0.6221,0.735,0.5023,0.8689,"Enhance,Induce,Inhibit"
site_disjoint,tree_baseline_mechanism,val,465,0.7699,0.8146,0.7373,0.7649,0.5523,0.8404,"Enhance,Induce,Inhibit"
site_disjoint,sequence_embedding_logistic,train,3257,0.6905,0.687,0.5544,0.7022,0.6889,0.8287,"Enhance,Induce,Inhibit"
site_disjoint,sequence_embedding_logistic,test,931,0.5811,0.4128,0.368,0.5989,1.1661,0.55,"Enhance,Induce,Inhibit"
site_disjoint,sequence_embedding_logistic,val,465,0.5677,0.3516,0.3616,0.5828,1.2261,0.5734,"Enhance,Induce,Inhibit"
site_disjoint,combined_mechanism_aware,train,3257,0.7654,0.8409,0.8293,0.7707,0.4506,0.9074,"Enhance,Induce,Inhibit"
site_disjoint,combined_mechanism_aware,test,931,0.6992,0.5835,0.6343,0.7047,0.8735,0.7482,"Enhance,Induce,Inhibit"
site_disjoint,combined_mechanism_aware,val,465,0.6387,0.632,0.6722,0.6449,0.9248,0.7958,"Enhance,Induce,Inhibit"
site_disjoint,mlp_sequence_embedding,train,3257,0.7335,0.5915,0.6524,0.7202,0.5215,0.8293,"Enhance,Induce,Inhibit"
site_disjoint,mlp_sequence_embedding,test,931,0.6369,0.3635,0.3619,0.6171,0.7931,0.5134,"Enhance,Induce,Inhibit"
site_disjoint,mlp_sequence_embedding,val,465,0.6194,0.3606,0.3579,0.5979,0.8289,0.6405,"Enhance,Induce,Inhibit"
