split_col	model	feature_family	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	threshold_from_valid	macro_f1	balanced_accuracy	auroc	auprc	auroc_ci_low	auroc_ci_high	auprc_ci_low	auprc_ci_high
pair_disjoint_split	site_window_logistic	site	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.37667835427421537	0.5293525090661129	0.5289346246973365	0.552451573849879	0.7542526010347379	0.5017947593858327	0.6027270676737666	0.7080019366200658	0.805396139431885
pair_disjoint_split	sequence_mlp	pair	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.7276282906532288	0.6365852971022663	0.6499924334140436	0.70988196125908	0.8599445412473595	0.6585825811806204	0.7520670146149081	0.826827443651202	0.8952238352184921
pair_disjoint_split	mechanism_logistic	mechanism	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.4199459205806097	0.554463843924507	0.5555387409200969	0.6032838983050848	0.7797571200721005	0.5538567434679282	0.6498481798659336	0.7304564197683748	0.8342551048515927
pair_disjoint_split	combined_shuffled_labels	negative_control	2677	574	573	0.6817332835263354	0.710801393728223	0.7207678883071553	0.20414105788030334	0.5079461655467201	0.5079600484261502	0.5333535108958838	0.7476010828127199	0.4827395558895822	0.5878570529796143	0.704824632481821	0.7940164470375219
modified_protein_disjoint_split	majority_baseline	none	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.6989166977960404	0.4	0.5	0.5	0.6666666666666666	0.5	0.5	0.6282722513089005	0.7120418848167539
modified_protein_disjoint_split	degree_only	degree	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.41706088453248163	0.6186779059449867	0.6387434554973822	0.6783325566733368	0.8329383587184103	0.6412976488777097	0.7231428722741877	0.7960260249865615	0.8635735670681376
modified_protein_disjoint_split	logistic	combined	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.7629113762415118	0.5719436143952189	0.5798429319371727	0.6074806063430278	0.7592951239828536	0.5603855375485772	0.6514882080289679	0.7103534516977661	0.8079480954048981
modified_protein_disjoint_split	random_forest	combined	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.6176504200967552	0.646747111468233	0.6452879581151832	0.7387544201090979	0.8678512875811781	0.706526102125736	0.7764937397512444	0.8387894767914236	0.8986985226195208
modified_protein_disjoint_split	site_window_logistic	site	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.4065762384840049	0.4759592207129285	0.4777486910994765	0.5160631561634823	0.689752654842454	0.4700962587726806	0.5689503942396902	0.6350177310979103	0.7423441228956309
modified_protein_disjoint_split	sequence_mlp	pair	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.5270482897758484	0.5544684039981845	0.5536649214659686	0.6278884898988515	0.7792106339869126	0.5811139909787112	0.6695206271833877	0.7288108244585522	0.8180819018052066
modified_protein_disjoint_split	mechanism_logistic	mechanism	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.3792213467651887	0.5303364237445584	0.531413612565445	0.544297031331378	0.6906009670117428	0.5008360342800431	0.5938670023676532	0.6388116895388702	0.7437750896160761
modified_protein_disjoint_split	combined_shuffled_labels	negative_control	2677	574	573	0.6989166977960404	0.6846689895470384	0.6666666666666666	0.4272321825481726	0.5038791928006545	0.5039267015706806	0.49179024697787893	0.6580046641900754	0.44549407093539095	0.5545683351918902	0.6157050069985176	0.7131260975114099
site_disjoint_split	majority_baseline	none	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.6977960403436683	0.41590214067278286	0.5	0.5	0.7120418848167539	0.5	0.5	0.6718586387434555	0.7521815008726004
site_disjoint_split	degree_only	degree	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.4332886791811333	0.5838887400631954	0.6177807486631016	0.6473559120617944	0.8378875969161224	0.6073753755022809	0.694099717673844	0.803699945601216	0.8669060453732227
site_disjoint_split	logistic	combined	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.6758243098086721	0.5705867658582824	0.5818181818181818	0.5935383244206773	0.7512741224554909	0.5365774330616883	0.642899525484951	0.701486673429748	0.8025128042136874
site_disjoint_split	random_forest	combined	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.586771810578838	0.6816175335699954	0.6755347593582888	0.8058377896613191	0.9067194591676196	0.762935453810824	0.8432005031876404	0.8750661867387023	0.9354574147413693
site_disjoint_split	site_window_logistic	site	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.5182906004838972	0.47613958279680657	0.49494206773618543	0.48556149732620324	0.7202966628484053	0.4349349535487105	0.539508825566076	0.6766498065756389	0.7716746652947718
