split_col	model	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	valid_threshold_mcc	auprc	auroc	mcc	macro_f1	balanced_accuracy	brier	ece	precision_at_50	auprc_ci_low	auprc_ci_high
S1_cold_homology_split	source_assay_only	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.4078374867696642	0.7683446156877654	0.5527451578465761	0.11674305851567224	0.4895221558313331	0.5266814091810279	0.2466508904496716	0.22268506178193398	0.9	0.7264617802053075	0.8104514958068785
S1_cold_homology_split	topology_only	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.7343382335140115	0.8366696684653246	0.6520664938233948	0.2003998103072352	0.4638053116227181	0.5968049412841239	0.20950044340388577	0.13187549768670528	0.96	0.8109929395114293	0.8722197172116783
S1_cold_homology_split	motif_only	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.4226012227398269	0.8303639275029819	0.6633445173097453	0.21364173017500404	0.5938748784965979	0.6176452646027146	0.24530562166746203	0.22284151552523504	0.9	0.7937213129358133	0.8712204699050828
S1_cold_homology_split	sequence_logistic	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.23095243429954762	0.8088937890846858	0.6080524630166235	0.11731665807636593	0.5584393236570402	0.5597529357938081	0.31395808243648266	0.282601304461457	0.86	0.7651578335243097	0.8455557687485317
S1_cold_homology_split	sequence_random_forest	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.6265355210672995	0.9001622959277669	0.7557114534085709	0.326288725023857	0.6399818416871441	0.6816913222510295	0.17150362168966818	0.06570206925040953	1.0	0.8714441023887484	0.9213161721796079
S1_cold_homology_split	ptm_delta_only	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.5036424915351945	0.7835441379159628	0.5943037974683544	0.10908216236676405	0.5263472764992522	0.5610187585786183	0.2548075542308807	0.22891600185326308	0.84	0.7366058856187774	0.8273332002505427
S1_cold_homology_split	counterfactual_no_ptmchem_logistic	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.8851872671140236	0.8345257717401644	0.6474302272380662	0.18793076776696396	0.4995908247019738	0.5985892938843984	0.3143166896549287	0.2756764369539533	0.96	0.8012425991817878	0.8673645020124996
S1_cold_homology_split	counterfactual_logistic	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.6551056297793625	0.8366063458297821	0.6498551166692085	0.22747442254912265	0.5753598066188514	0.6271694372426415	0.31351612618264707	0.26948042659647803	0.96	0.7998254407480312	0.8723572688418588
S1_cold_homology_split	counterfactual_mlp	2677	574	573	0.6802390735898394	0.7142857142857143	0.7242582897033158	0.7956658673286439	0.8799045285649032	0.7097300594784199	0.27948662230220134	0.6262988757438439	0.6538050937928931	0.2561858595205123	0.22328755051469723	1.0	0.8504021649349622	0.9042256277962559
S2_cold_edge_split	class_prior	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.6895778856929399	0.680628272251309	0.5	0.0	0.40498442367601245	0.5	0.21745352284426164	0.008949613441631143	0.7	0.6403141361256545	0.7195026178010472
S2_cold_edge_split	source_assay_only	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.43923206035811246	0.7187543391551944	0.5396595208070617	0.08650367994333881	0.5261637833501327	0.5349306431273644	0.25302179163495486	0.19379318668680276	0.82	0.6736993909659446	0.7545499727723025
S2_cold_edge_split	topology_only	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.6425921022449071	0.8030001130924795	0.6478001961608518	0.20216858457047637	0.5369576951108319	0.60369903320723	0.2154026495534834	0.09918886919446734	0.94	0.7599655234579438	0.8340348282466823
S2_cold_edge_split	motif_only	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.6221455387836825	0.8130417146695486	0.672642566904862	0.21844292916084748	0.5143001756268903	0.6058848255569567	0.23529099756327887	0.1750435622046282	0.92	0.7686422601875047	0.8569270413175512
S2_cold_edge_split	sequence_logistic	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.9076067263273598	0.7504606315292311	0.6144878800616506	0.18467691764924654	0.5330700466652221	0.5953341740226986	0.3172594930645009	0.2855276597928732	0.76	0.7030912574913797	0.7951738596726331
S2_cold_edge_split	sequence_random_forest	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.7094962532858579	0.8817295531625772	0.7610760823875578	0.37910765639708416	0.6055257706835628	0.6914039512400169	0.18222894661424338	0.05905056221618885	0.98	0.8529350741510273	0.906802685576073
S2_cold_edge_split	ptm_delta_only	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.6881236916292368	0.7457884803114123	0.6131357713324926	0.08283436100854337	0.3811784207353828	0.5314207650273224	0.2448641048513597	0.18206907632520133	0.76	0.6953492944179078	0.7926615070068963
S2_cold_edge_split	counterfactual_no_ptmchem_logistic	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.9221350681315766	0.7646529166096886	0.632156368221942	0.18977101314791114	0.5300772854072346	0.5971206389239176	0.31477757902866327	0.2786494548888444	0.76	0.7147806016531777	0.8178216345151488
S2_cold_edge_split	counterfactual_logistic	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.9573891613354634	0.7651484138724005	0.6318901499229368	0.1974686915571795	0.5183114035087719	0.598297604035309	0.31407481255763764	0.2800329250002205	0.76	0.719737597236262	0.8145507488318219
S2_cold_edge_split	counterfactual_mlp	2677	574	573	0.6895778856929399	0.7142857142857143	0.680628272251309	0.42751776933670044	0.8383313551247793	0.7015692868151885	0.20149958026254863	0.5912009512485137	0.5884615384615385	0.2667661649959203	0.2516908547133988	0.94	0.802007870219115	0.8714410456532075
